date,home_team,away_team,home_odds,draw_odds,away_odds,home_win,away_win,draw,My Win %,My Draw %,My Loss %,Sum of percentages,Home Odds,Draw Odds,Loss Odds
5/23/21,Arsenal,Brighton & Hove Albion,1.57,4.33,5.25,1,0,0,99.94%,0.52%,2.86E-08,100.46%,1.005171159,194.3813096,35091192.28
5/23/21,Aston Villa,Chelsea,6.5,4.6,1.45,1,0,0,89.03%,87.06%,0.05%,176.14%,1.978295914,2.023232957,3906.37657
5/23/21,Fulham,Newcastle United,2.05,3.8,3.3,0,1,0,49.72%,92.25%,0.01%,141.98%,2.855513267,1.539121968,12630.56473
5/23/21,Leeds United,West Bromwich Albion,1.4,5.25,6.5,1,0,0,97.93%,66.37%,0.02%,164.32%,1.677903002,2.475916538,7864.329409
5/23/21,Leicester City,Tottenham Hotspur,2,4,3.3,0,1,0,58.77%,72.20%,0.05%,131.02%,2.22922147,1.814725978,2735.865189
5/23/21,Liverpool,Crystal Palace,1.14,8.5,15,1,0,0,99.00%,83.17%,1.64E-07,182.17%,1.840073595,2.190372329,11114026.38
5/23/21,Manchester City,Everton,1.44,5,6.5,1,0,0,100.00%,8.60E-10,1.56E-15,100.00%,1.000000001,1163440277,6.42835E+14
5/23/21,Sheffield United,Burnley,2.8,3.6,2.4,1,0,0,73.48%,32.85%,0.07%,106.40%,1.448054072,3.238757626,1520.48677
5/23/21,West Ham United,Southampton,1.65,4,5,1,0,0,3.43%,84.74%,0.07%,88.24%,25.71634415,1.041285392,1311.109545
5/23/21,Wolverhampton Wanderers,Manchester United,2.5,3.5,2.7,0,1,0,12.97%,50.00%,94.52%,157.50%,12.14022901,3.149763983,1.666263637
5/19/21,Burnley,Liverpool,11,7,1.22,0,1,0,3.32E-06,7.36E-11,100.00%,100.00%,301562.989,13593431187,1.000003316
5/19/21,Crystal Palace,Arsenal,6,4.5,1.5,0,1,0,3.84%,36.36%,4.01E-05,40.20%,10.45657753,1.105868458,10026.70852
5/19/21,Everton,Wolverhampton Wanderers,1.85,3.6,4.2,1,0,0,92.15%,30.09%,5.93E-09,122.25%,1.326573937,4.062093796,205999226.9
5/19/21,Newcastle United,Sheffield United,1.72,3.8,4.75,1,0,0,19.13%,1.94%,2.04%,23.12%,1.208081511,11.8891135,11.34678071
5/19/21,Tottenham Hotspur,Aston Villa,1.5,4.5,6,0,1,0,6.12%,0.67%,84.63%,91.42%,14.93944239,137.164336,1.080178901
5/19/21,West Bromwich Albion,West Ham United,5,4.33,1.6,0,1,0,33.30%,19.97%,6.38%,59.65%,1.791116651,2.987548374,9.348724973
5/18/21,Brighton & Hove Albion,Manchester City,7,4.5,1.45,1,0,0,9.98E-01,11.65%,0.03%,111.53%,1.116998567,9.575199565,3254.803809
5/18/21,Chelsea,Leicester City,1.7,3.75,5,1,0,0,89.43%,94.28%,2.01E-08,183.72%,2.054203124,1.948583836,91252564.19
