home_win,away_win,draw,home_possLostAll,away_possLostAll,home_shotFastbreak,away_shotFastbreak,home_lastManTackle,away_lastManTackle,home_totalFinalThirdPasses,away_totalFinalThirdPasses,home_putThrough,away_putThrough,home_accurateGoalKicks,away_accurateGoalKicks,home_aerialLost,away_aerialLost,home_totalLayoffs,away_totalLayoffs,home_interception,away_interception,home_interceptionsInBox,away_interceptionsInBox,home_totalLaunches,away_totalLaunches,home_errorLeadToShot,away_errorLeadToShot,home_effectiveHeadClearance,away_effectiveHeadClearance,home_sixYardBlock,away_sixYardBlock,home_interceptionWon,away_interceptionWon,home_attemptedTackleFoul,away_attemptedTackleFoul,home_crosses18yardplus,away_crosses18yardplus,home_attemptsConcededIbox,away_attemptsConcededIbox,home_attFastbreak,away_attFastbreak,home_finalThirdEntries,away_finalThirdEntries,home_possWonAtt3rd,away_possWonAtt3rd,home_attemptsObox,away_attemptsObox,home_duelLost,away_duelLost,home_wonContest,away_wonContest,home_accurateFreekickCross,away_accurateFreekickCross,home_openPlayPass,away_openPlayPass,home_possWonMid3rd,away_possWonMid3rd,home_totalFwdZonePass,away_totalFwdZonePass,home_totalPass,away_totalPass,home_accuratePass,away_accuratePass,home_saves,away_saves,home_possWonDef3rd,away_possWonDef3rd,home_attemptsIbox,away_attemptsIbox,home_touches,away_touches,home_accurateLaunches,away_accurateLaunches,home_headClearance,away_headClearance,home_effectiveBlockedCross,away_effectiveBlockedCross,home_attOpenplay,away_attOpenplay,home_fwdPass,away_fwdPass,home_backwardPass,away_backwardPass,home_totalFastbreak,away_totalFastbreak,home_touchesInOppBox,away_touchesInOppBox,home_shotOffTarget,away_shotOffTarget,home_attCorner,away_attCorner,home_blockedPass,away_blockedPass,home_accurateBackZonePass,away_accurateBackZonePass,home_possessionPercentage,away_possessionPercentage,home_totalCornersIntobox,away_totalCornersIntobox,home_totalThroughBall,away_totalThroughBall,home_overrun,away_overrun,home_wonTackle,away_wonTackle,home_totalClearance,away_totalClearance,home_attSetpiece,away_attSetpiece,home_penAreaEntries,away_penAreaEntries,home_ballRecovery,away_ballRecovery,home_cornerTaken,away_cornerTaken,home_cornerTaken,away_cornerTaken,home_fouledFinalThird,away_fouledFinalThird,home_dispossessed,away_dispossessed
1,0,0,126.9757143,124.4664286,0.533571429,0.312142857,0.003571429,0.017857143,162.8078571,111.0778571,14.33571429,14.58428571,4.256428571,4.303571429,17.80357143,15.36071429,6.315714286,4.262857143,9.384285714,9.521428571,0.97,1.115,11.21214286,15.06785714,0.635,0.224285714,9.325714286,12.95857143,0.5,0.064285714,9.384285714,9.521428571,5.563571429,5.807142857,3.374285714,2.997142857,9.095714286,8.984285714,0.533571429,0.312142857,57.61642857,46.86357143,3.72,3.435714286,4.748571429,4.567142857,49.085,53.53857143,10.39928571,9.443571429,0.188571429,0.227857143,498.0614286,398.7164286,20.45714286,20.67571429,316.355,234.4914286,520.4514286,420.4871429,447.8364286,344.185,3.705,3.508571429,19.14785714,26.76357143,8.910714286,9.140714286,713.1942857,609.8607143,1.976428571,4.129285714,9.325714286,12.95857143,1.188571429,2.367142857,8.999285714,9.642857143,160.7092857,142.5857143,79.98642857,65.24,0.544285714,0.319285714,27.52928571,24.58571429,4.378571429,4.468571429,2.074285714,1.992142857,14.33571429,14.58428571,208.9607143,182.0485714,58.22028571,46.43107143,6.347857143,4.601428571,1.049285714,0.336428571,0.81,1.347857143,6.976428571,8.682857143,17.67071429,23.90142857,0.325714286,1.095,32.60928571,25.86142857,52.27642857,56.91,8.518571429,5.392142857,8.518571429,5.392142857,2.402142857,1.808571429,8.405,9.028571429
1,0,0,128.6050575,137.7421429,0.151264368,0.398571429,0.018390805,0.010714286,111.5337931,201.9,13.56551724,16.74285714,3.364137931,4.905714286,20.98206897,18.14928571,6.671724138,7.747142857,12.02206897,8.102142857,2.963678161,0.258571429,21.56091954,13.27928571,0.167356322,0.067857143,10.41149425,8.9,0.574252874,2.972857143,12.02206897,8.102142857,4.571034483,6.03,4.620229885,5.267857143,8.80183908,5.532857143,0.151264368,0.398571429,54.23770115,67.01571429,3.590344828,4.206428571,4.298850575,7.336428571,50.07632184,50.39214286,6.486896552,8.145,0.789425287,0.046428571,322.3287356,623.2514286,16.77425287,22.845,213.5255172,391.9814286,352.5383908,641.7728571,267.7222989,554.1585714,3.274022989,2.613571429,25.00045977,22.44357143,7.875402299,9.13,537.1149425,822.2514286,4.794482759,2.73,10.41149425,8.9,2.854712644,1.208571429,7.225287356,12.18071429,140.1388506,183.2157143,56.68735632,104.6407143,0.15816092,0.423571429,18.22758621,32.57214286,4.870344828,5.875,1.578390805,3.027142857,13.56551724,16.74285714,133.7108046,245.525,40.28055172,64.52242857,3.43862069,6.023571429,0.234022989,0.746428571,1.416551724,0.965,5.650574713,7.497857143,24.74528736,14.20285714,2.268965517,0.670714286,26.21425287,37.99428571,52.97149425,55.04642857,4.571494253,6.696428571,4.571494253,6.696428571,3.508045977,1.307142857,7.974252874,7.287142857
0,1,0,140.7788235,115.5228571,0.122352941,0.412857143,0.011764706,0.003571429,151.2917647,73.03,15.18117647,13.53428571,5.202352941,7.191428571,15.50117647,15.57857143,4.581176471,3.111428571,11.81882353,10.11857143,2.609411765,1.464285714,13.64,16.21142857,0.150588235,0.206428571,5.818823529,13.98214286,0.538823529,0.522857143,11.81882353,10.11857143,4.585882353,6.108571429,6.701176471,3.182857143,7.957647059,9.689285714,0.122352941,0.412857143,64.10352941,36.48285714,4.967058824,1.812142857,6.098823529,4.049285714,47.87529412,48.60642857,11.93647059,8.981428571,0.051764706,0.21,569.0423529,323.0792857,24.03058824,15.97285714,319.4588235,162.4164286,591.4847059,345.1457143,509.2117647,272.3221429,2.792941176,3.167857143,24.09647059,30.76214286,7.324705882,7.169285714,781.2423529,524.3207143,3.849411765,4.177857143,5.818823529,13.98214286,1.362352941,1.609285714,10.26588235,7.795714286,176.4870588,128.5542857,90.28235294,55.14928571,0.131764706,0.423571429,28.99294118,16.195,6.08,4.692857143,1.070588235,0.697857143,15.18117647,13.53428571,273.4094118,172.6821429,58.396,33.6705,4.696470588,4.246428571,1.270588235,1.812142857,1.710588235,0.975714286,10.07058824,6.835,13.95529412,29.42785714,0.48,0.699285714,35.86588235,19.92071429,58.28470588,56.57357143,5.018823529,4.43,5.018823529,4.43,1.416470588,1.252857143,10.49176471,7.987857143
1,0,0,149.4263636,149.64,0.783636364,0.732307692,0.011363636,0.009230769,111.1881818,104.7815385,17.48727273,13.28615385,5.281363636,4.24,15.17227273,16.32923077,6.209090909,5.658461538,11.59818182,9.716923077,0.598181818,1.726153846,16.755,20.02461538,0.216818182,0.289230769,8.574090909,10.04307692,0.537727273,0.264615385,11.59818182,9.716923077,6.493181818,6.538461538,4.437272727,3.855384615,6.779545455,10.47076923,0.783636364,0.732307692,43.28954545,57.35384615,3.716363636,2.96,6.291818182,4.396923077,57.23090909,54.63692308,8.126818182,11.93846154,0.464545455,0.956923077,393.4622727,305.2307692,26.04363636,21.96923077,216.3777273,208.9015385,416.5922727,330.0553846,322.285,241.4030769,2.748181818,5.852307692,29.18318182,27.11692308,8.398636364,5.692307692,620.2540909,535.48,2.969090909,4.015384615,8.574090909,10.04307692,1.595454545,2.606153846,11.55772727,6.501538462,157.1304545,145.5476923,59.95681818,53.64,0.995,0.824615385,22.57954545,17.07076923,4.662272727,4.129230769,1.689090909,0.710769231,17.48727273,13.28615385,187.7877273,115.6984615,53.308,43.37723077,4.822727273,4.369230769,1.795,0.292307692,1.770909091,1.587692308,14.68590909,9.726153846,17.59454545,19.57538462,1.052727273,1.070769231,29.38909091,27.51692308,65.41181818,61.34153846,5.748181818,5.24,5.748181818,5.24,2.026818182,2.996923077,10.25818182,13.44615385
0,1,0,148.0507143,149.8592857,0.128571429,0.830714286,0.217857143,0.007142857,148.3757143,136.4564286,18.95571429,20.88785714,4.595714286,6.496428571,15.68785714,13.32357143,5.507142857,7.180714286,10.95142857,9.481428571,1.277142857,0.519285714,12.08357143,14.48071429,0.271428571,0.518571429,8.72,10.45785714,0.333571429,0.213571429,10.95142857,9.481428571,8.805,6.437857143,4.865714286,3.235,6.559285714,8.357142857,0.128571429,0.830714286,63.15285714,51.59785714,5.251428571,3.452857143,6.618571429,4.260714286,54.39428571,54.15071429,9.925714286,10.63785714,0.231428571,0.253571429,453.6557143,518.0835714,26.44214286,28.27928571,296.1564286,295.1885714,476.6307143,542.5007143,386.5128571,448.9792857,1.762857143,3.576428571,26.27285714,25.82571429,8.027857143,7.735,677.4707143,741.1614286,2.810714286,3.240714286,8.72,10.45785714,0.728571429,0.952857143,11.685,9.436428571,156.4907143,176.2157143,76.275,81.64642857,0.185714286,1.125,23.60428571,25.06142857,5.518571429,4.905,1.355,1.010714286,18.95571429,20.88785714,176.4842857,233.2128571,51.98278571,57.137,5.607857143,4.298571429,2.382857143,1.135714286,2.252142857,1.299285714,11.95571429,11.04214286,16.59285714,20.02928571,0.818571429,0.357857143,31.51857143,28.46357143,65.13857143,64.19285714,6.775,4.797857143,6.775,4.797857143,1.921428571,2.947857143,8.191428571,10.94428571
1,0,0,147.9464286,134.7314286,1.397857143,0.522142857,0.094285714,0.007142857,224.585,83.60857143,16.87785714,16.48714286,3.899285714,4.163571429,13.66285714,17.25857143,6.997142857,5.427142857,8.6,12.09571429,0.39,2.373571429,11.59357143,21.58928571,0.515,0.460714286,6.921428571,11.40357143,0.965714286,0.311428571,8.6,12.09571429,5.428571429,5.473571429,5.980714286,2.350714286,5.704285714,11.36785714,1.397857143,0.522142857,80.13,42.81785714,6.986428571,2.557142857,6.208571429,3.53,50.02571429,50.89357143,8.639285714,10.65785714,0.340714286,0.449285714,683.6078571,304.3485714,31.50928571,16.32714286,469.585,187.7214286,701.2921429,332.1264286,609.365,244.4214286,1.632142857,2.827857143,21.74642857,32.41285714,13.09714286,6.828571429,889.9428571,528.99,3.321428571,4.564285714,6.921428571,11.40357143,1.199285714,1.551428571,14.40785714,7.168571429,183.3657143,140.8921429,99.30714286,51.41214286,1.713571429,0.612857143,42.55928571,18.06928571,7.535,3.510714286,2.31,1.51,16.87785714,16.48714286,233.6864286,130.0242857,65.83664286,35.24078571,5.507857143,3.420714286,2.31,0.082142857,1.64,1.891428571,9.177857143,12.72214286,14.67857143,26.71214286,0.826428571,0.858571429,42.75214286,17.98428571,66.22214286,59.02142857,7.268571429,4.095,7.268571429,4.095,1.889285714,1.926428571,9.585,9.111428571
1,0,0,118.75,128.8271429,0.347142857,0.424285714,0.010714286,0.210714286,191.83,94.56,15.01571429,15.71214286,2.987857143,5.093571429,15.37714286,15.59071429,7.882142857,4.766428571,8.887142857,11.16642857,0.593571429,1,10.54,18.46714286,0.744285714,0.202857143,6.828571429,9.354285714,0.338571429,0.151428571,8.887142857,11.16642857,5.61,6.464285714,4.118571429,4.399285714,6.260714286,8.477857143,0.347142857,0.424285714,61.39214286,45.16571429,4.92,3.372142857,4.888571429,3.245,48.385,48.09428571,9.706428571,9.912142857,0.133571429,0.1,684.1235714,375.9978571,27.83357143,21.90428571,427.4785714,202.1057143,703.6857143,399.2185714,630.3871429,316.985,1.852142857,2.939285714,21.46071429,26.60642857,10.55357143,7.737142857,871.2721429,578.9835714,2.815714286,5.558571429,6.828571429,9.354285714,1.342857143,2.266428571,11.45071429,7.944285714,176.8614286,139.5164286,120.1442857,63.62357143,0.357857143,0.427857143,31.13785714,17.07285714,6.127857143,4.737857143,1.742142857,1.863571429,15.01571429,15.71214286,275.1178571,190.0771429,64.71564286,41.039,4.614285714,4.494285714,2.469285714,1.090714286,1.580714286,1.782857143,8.375714286,9.710714286,12.93357143,19.46642857,1.001428571,0.484285714,29.90785714,23.28428571,58.95928571,60.335,5.869285714,4.750714286,5.869285714,4.750714286,2.249285714,1.145714286,9.11,8.254285714
1,0,0,148.1084337,162.4528571,0.959518072,0.021428571,0.009638554,0.014285714,137.2708434,134.5557143,14.41445783,13.51142857,2.035662651,4.718571429,23.6853012,29.27,5.094457831,3.848571429,7.713253012,8.315,1.836144578,0.986428571,24.63855422,34.12857143,0.208192771,0.042857143,11.02409639,11.37214286,0.164337349,0.140714286,7.713253012,8.315,4.310843373,4.865,5.408674699,6.73,7.85686747,11.17928571,0.959518072,0.021428571,54.85012048,71.62071429,4.070361446,5.050714286,2.443855422,2.596428571,52.77879518,63.35071429,10.39759036,4.728571429,0.30746988,0.155,368.5156627,370.0628571,21.90698795,25.94857143,257.5108434,264.4521429,393.7036145,394.0514286,292.4048193,284.5335714,2.998072289,2.680714286,22.7739759,25.22785714,8.533493976,6.524285714,574.7079518,570.6178571,5.276144578,8.447857143,11.02409639,11.37214286,2.443855422,2.602857143,8.782650602,6.303571429,153.8375904,155.7614286,60.5060241,65.10214286,0.969156627,0.021428571,22.53542169,17.59428571,4.668433735,4.837142857,1.371084337,1.56,14.41445783,13.51142857,133.6708434,129.3642857,44.43093976,46.09578571,4.960481928,5.169285714,0.913253012,0.205,1.758072289,1.512142857,10.13879518,6.069285714,21.17253012,20.55571429,0.311807229,0.482857143,29.72289157,34.98785714,58.89445783,64.295,5.654939759,5.219285714,5.654939759,5.219285714,1.592289157,1.265714286,7.072771084,9.832857143
1,0,0,148.2092857,152.9957143,0.929285714,0.162142857,0.225,0.192142857,133.0464286,113.8271429,18.68928571,20.925,3.320714286,4.374285714,19.31357143,24.43214286,4.34,6.144285714,11.12,11.56,0.781428571,1.834285714,21.55,18.55785714,0.119285714,0.275714286,12.53214286,9.248571429,0.155,0.475,11.12,11.56,3.902857143,5.718571429,4.455714286,3.77,6.899285714,9.083571429,0.929285714,0.162142857,53.85785714,55.035,3.325,4.346428571,5.862142857,4.353571429,51.34142857,66.09571429,11.92214286,9.087857143,0.060714286,0.249285714,416.3492857,413.3164286,24.77428571,27.745,279.6785714,255.1392857,436.6392857,434.8928571,342.4192857,339.6421429,1.963571429,3.770714286,30.56214286,22.995,8.977857143,6.934285714,636.7142857,634.7178571,4.65,4.091428571,12.53214286,9.248571429,1.637857143,1.117142857,11.74857143,7.545714286,168.085,158.4471429,65.78642857,68.55642857,1.016428571,0.169285714,24.84785714,21.82214286,6.241428571,3.696428571,1.722142857,1.830714286,18.68928571,20.925,148.4192857,174.4707143,48.41128571,50.37042857,3.702857143,5.997142857,1.345714286,0.71,1.315,2.565,9.009285714,10.07714286,23.54785714,19.18071429,0.255,0.67,29.76428571,27.96571429,64.30571429,61.32928571,4.152142857,6.297857143,4.152142857,6.297857143,1.425,2.25,7.894285714,11.44071429
0,1,0,139.68,141.2235714,0.864303797,0.107142857,0.305316456,0.090714286,111.363038,151.9007143,17.55037975,17.15571429,3.848101266,4.076428571,19.90227848,12.86571429,5.836455696,6.442857143,12.15139241,7.547142857,1.021772152,0.702142857,18.24303797,10.30357143,0.238481013,0.427857143,9.643544304,6.974285714,0.345822785,0.304285714,12.15139241,7.547142857,6.050126582,5.951428571,3.59443038,4.637142857,6.974177215,6.655,0.864303797,0.107142857,45.33721519,59.53857143,2.528101266,3.185,3.98835443,6.261428571,56.78329114,49.81928571,10.88556962,10.20714286,0.736202532,0.377142857,438.9792405,530.4542857,22.84708861,31.63785714,261.9098734,325.2192857,461.5843038,552.0492857,374.9696203,462.7385714,2.790886076,2.563571429,29.58632911,22.80785714,7.513417722,7.244285714,647.3665823,735.6092857,3.700759494,1.892857143,9.643544304,6.974285714,1.541772152,0.731428571,8.029873418,9.568571429,158.324557,169.6707143,77.74177215,78.02,0.882025316,0.142857143,20.58278481,22.69214286,4.579240506,5.217142857,1.549873418,1.25,17.55037975,17.15571429,191.4860759,219.7507143,49.19964557,56.266,3.437468354,4.457142857,0.753924051,0.726428571,1.867341772,1.67,9.619746835,10.12,17.60303797,14.53285714,1.397468354,0.830714286,23.64556962,28.33214286,61.02683544,63.42857143,5.613670886,5.338571429,5.613670886,5.338571429,2.076455696,2.842142857,9.317468354,9.242142857
