home_win,away_win,draw,home_possLostAll,away_possLostAll,home_shotFastbreak,away_shotFastbreak,home_lastManTackle,away_lastManTackle,home_totalFinalThirdPasses,away_totalFinalThirdPasses,home_putThrough,away_putThrough,home_accurateGoalKicks,away_accurateGoalKicks,home_aerialLost,away_aerialLost,home_totalLayoffs,away_totalLayoffs,home_interception,away_interception,home_interceptionsInBox,away_interceptionsInBox,home_totalLaunches,away_totalLaunches,home_errorLeadToShot,away_errorLeadToShot,home_effectiveHeadClearance,away_effectiveHeadClearance,home_sixYardBlock,away_sixYardBlock,home_interceptionWon,away_interceptionWon,home_attemptedTackleFoul,away_attemptedTackleFoul,home_crosses18yardplus,away_crosses18yardplus,home_attemptsConcededIbox,away_attemptsConcededIbox,home_attFastbreak,away_attFastbreak,home_finalThirdEntries,away_finalThirdEntries,home_possWonAtt3rd,away_possWonAtt3rd,home_attemptsObox,away_attemptsObox,home_duelLost,away_duelLost,home_wonContest,away_wonContest,home_accurateFreekickCross,away_accurateFreekickCross,home_openPlayPass,away_openPlayPass,home_possWonMid3rd,away_possWonMid3rd,home_totalFwdZonePass,away_totalFwdZonePass,home_totalPass,away_totalPass,home_accuratePass,away_accuratePass,home_saves,away_saves,home_possWonDef3rd,away_possWonDef3rd,home_attemptsIbox,away_attemptsIbox,home_touches,away_touches,home_accurateLaunches,away_accurateLaunches,home_headClearance,away_headClearance,home_effectiveBlockedCross,away_effectiveBlockedCross,home_attOpenplay,away_attOpenplay,home_fwdPass,away_fwdPass,home_backwardPass,away_backwardPass,home_totalFastbreak,away_totalFastbreak,home_touchesInOppBox,away_touchesInOppBox,home_shotOffTarget,away_shotOffTarget,home_attCorner,away_attCorner,home_blockedPass,away_blockedPass,home_accurateBackZonePass,away_accurateBackZonePass,home_possessionPercentage,away_possessionPercentage,home_totalCornersIntobox,away_totalCornersIntobox,home_totalThroughBall,away_totalThroughBall,home_overrun,away_overrun,home_wonTackle,away_wonTackle,home_totalClearance,away_totalClearance,home_attSetpiece,away_attSetpiece,home_penAreaEntries,away_penAreaEntries,home_ballRecovery,away_ballRecovery,home_cornerTaken,away_cornerTaken,home_cornerTaken,away_cornerTaken,home_fouledFinalThird,away_fouledFinalThird,home_dispossessed,away_dispossessed
1,0,0,126.7631579,138.4210526,0.263157895,0.236842105,0.078947368,0.052631579,140.6578947,134.7894737,14.78947368,16.5,3.710526316,4.578947368,16.39473684,15.86842105,5.815789474,4.605263158,9.289473684,11.02631579,1.184210526,1.289473684,12.76315789,16.44736842,0.289473684,0.184210526,8.921052632,8.210526316,0.447368421,0.368421053,9.289473684,11.02631579,4.868421053,5.894736842,3.842105263,3.263157895,7.289473684,5.973684211,0.263157895,0.236842105,55.92105263,55.57894737,3.447368421,4.789473684,4.184210526,4.473684211,46.78947368,49.39473684,8.052631579,9.263157895,0.394736842,0.342105263,505.9473684,453.7368421,22.28947368,24.31578947,285.6315789,263.5,526.3947368,474.4736842,447.0526316,384.9473684,2.605263158,2.105263158,22.65789474,24.39473684,7.815789474,8.605263158,698.6052632,656.5526316,2.131578947,3.078947368,8.921052632,8.210526316,1.210526316,1.447368421,8.921052632,9.368421053,157.4736842,155.5526316,86.02631579,72.63157895,0.289473684,0.236842105,24.81578947,24.84210526,4.710526316,5.026315789,1.815789474,2.210526316,14.78947368,16.5,235.8157895,205.0526316,53.63157895,51.13157895,4.184210526,4.868421053,0.842105263,0.447368421,1.210526316,1.368421053,6.631578947,8.578947368,16.57894737,15.07894737,0.447368421,0.815789474,27.68421053,30.97368421,55.13157895,60.68421053,5.263157895,5.868421053,5.263157895,5.868421053,2.631578947,2.131578947,6.684210526,8.131578947
1,0,0,138.8684211,133.4210526,0.605263158,0.473684211,0.026315789,0.078947368,132.1578947,160.7105263,14.36842105,18.23684211,4.026315789,4.894736842,18,13.94736842,5.447368421,8.052631579,10.26315789,10.02631579,1.394736842,0.947368421,16.92105263,12.55263158,0.342105263,0.184210526,9.736842105,9,0.394736842,0.315789474,10.26315789,10.02631579,5.578947368,6.157894737,6.052631579,4.263157895,8.473684211,5.078947368,0.605263158,0.473684211,56.55263158,56.05263158,4.5,4.289473684,4.684210526,4.894736842,52.02631579,49,9.578947368,9.578947368,0.736842105,0.342105263,373.7894737,615.2631579,22.07894737,23.78947368,250.9210526,338.4210526,400.4210526,634.2368421,314.4473684,550.7894737,3.578947368,1.921052632,23.36842105,24.89473684,9.184210526,9.421052632,595.6052632,821.2631579,4.026315789,2.710526316,9.736842105,9,1.315789474,1.368421053,9.973684211,10.42105263,148.0263158,181,60.65789474,103.0789474,0.684210526,0.552631579,26.42105263,27.44736842,5.052631579,4.947368421,2.052631579,2.473684211,14.36842105,18.23684211,147.7631579,287.4473684,48.47105263,61.19736842,4.368421053,4.973684211,0.315789474,0.789473684,1.473684211,1.105263158,7.210526316,9.263157895,18.71052632,16.36842105,1.236842105,0.710526316,30.65789474,29.63157895,58.39473684,58.5,5.736842105,5.789473684,5.736842105,5.789473684,3.421052632,2.105263158,8.842105263,7.710526316
0,1,0,148.1052632,131.3684211,0.342105263,0.631578947,0.052631579,0.026315789,120.0263158,87.28947368,16.05263158,15.5,4.763157895,4.736842105,17.18421053,17.76315789,4.973684211,3.684210526,11.52631579,9.473684211,1.210526316,1.315789474,17.36842105,21.07894737,0.210526316,0.105263158,10.15789474,11.07894737,0.236842105,0.236842105,11.52631579,9.473684211,6.842105263,5.552631579,5.184210526,5.263157895,7.5,9.263157895,0.342105263,0.631578947,51.92105263,44.76315789,4.289473684,2.447368421,4.5,3.789473684,56.34210526,50.28947368,13.52631579,9.289473684,0.263157895,0.315789474,447.0263158,318.5526316,22.76315789,19.44736842,251.3157895,192.7894737,469.5263158,343.4210526,380.1578947,259.8157895,3.184210526,3.578947368,26.26315789,25.15789474,7.131578947,6.473684211,669.7368421,525.6842105,3.736842105,5.131578947,10.15789474,11.07894737,1.894736842,1.684210526,8.526315789,6.710526316,156.6052632,134.1052632,74.07894737,54.89473684,0.368421053,0.684210526,20.47368421,15.57894737,4.894736842,3.684210526,1.605263158,1.736842105,16.05263158,15.5,208.5526316,143.0263158,49.45,38.07368421,3.763157895,3.631578947,0.447368421,0.342105263,1.552631579,1.315789474,8.710526316,7.315789474,19.97368421,22.86842105,0.894736842,0.973684211,27.21052632,22.28947368,59.73684211,54.26315789,4.289473684,4.184210526,4.289473684,4.184210526,2.105263158,2.210526316,10.52631579,7.868421053
1,0,0,147.8421053,142.8947368,0.578947368,0.263157895,0.026315789,0,130.5263158,103.8684211,16.36842105,15.13157895,6.105263158,3.394736842,16.10526316,20.36842105,5.763157895,3.736842105,10.63157895,11.34210526,0.868421053,2.078947368,11.71052632,21.44736842,0.552631579,0.236842105,7.736842105,11.52631579,0.605263158,0.131578947,10.63157895,11.34210526,7.052631579,5.315789474,6,3.789473684,9.052631579,9.947368421,0.578947368,0.263157895,51.86842105,54.81578947,3.947368421,4.473684211,4.526315789,3.631578947,53.68421053,54.92105263,8.473684211,6.894736842,0.447368421,0.394736842,470.5789474,304.1578947,24.42105263,19.68421053,253,206.5,492.7631579,329.6052632,398.8157895,238.6052632,3.894736842,4.342105263,28.36842105,27.44736842,9.315789474,5.342105263,691.6052632,516.2105263,2.342105263,4.526315789,7.736842105,11.52631579,1.710526316,1.631578947,10.73684211,6,160.9736842,142.5,70.10526316,52.21052632,0.736842105,0.315789474,24.34210526,16.31578947,5.315789474,4.026315789,2.184210526,1.289473684,16.36842105,15.13157895,231.2105263,116.7368421,57.65263158,37.99473684,5.315789474,3.052631579,0.763157895,0.421052632,1.315789474,1.131578947,10.78947368,8.578947368,16.10526316,21.84210526,0.552631579,0.815789474,32.57894737,24.5,65.68421053,60.31578947,6.078947368,3.868421053,6.078947368,3.868421053,2.078947368,1.921052632,8.421052632,8.026315789
0,1,0,141.6842105,138.4210526,0.315789474,0.605263158,0.026315789,0.052631579,130.0789474,114.9473684,17.57894737,16.84210526,3.947368421,5.684210526,15.71052632,17.42105263,5.157894737,5.763157895,11.5,9.289473684,0.894736842,1.105263158,13.18421053,15.86842105,0.131578947,0.315789474,9.236842105,10.81578947,0.210526316,0.263157895,11.5,9.289473684,6.394736842,7.157894737,3.973684211,3.131578947,6.605263158,8.710526316,0.315789474,0.605263158,56.15789474,49.28947368,4.315789474,3.421052632,5.105263158,4.526315789,51.86842105,56.13157895,9.421052632,10.44736842,0.315789474,0.157894737,493.2368421,477.5526316,25,22.15789474,285.3157895,261.9210526,514.6842105,501.7631579,423.1315789,410.6578947,2.315789474,2.921052632,26.13157895,25.63157895,7.763157895,7.026315789,702.5526316,687.7631579,2.605263158,3.236842105,9.236842105,10.81578947,1.526315789,1.473684211,9.5,8.131578947,159.5,164.2105263,77.89473684,75.05263158,0.421052632,0.736842105,21.57894737,19.15789474,4.210526316,4.289473684,1.710526316,1.657894737,17.57894737,16.84210526,217.8947368,223.1842105,54.49473684,51.60789474,4.026315789,4,0.894736842,0.710526316,1.131578947,1.421052632,10.44736842,9.710526316,16.5,19.73684211,0.842105263,0.684210526,26.65789474,22.86842105,61.65789474,58.39473684,5.447368421,4.289473684,5.447368421,4.289473684,2.842105263,2.526315789,8.473684211,8.736842105
1,0,0,148.1578947,139.8157895,0.447368421,0.315789474,0.131578947,0.026315789,189.1315789,104.3421053,16.71052632,17.42105263,4.473684211,3.921052632,15.21052632,17.60526316,6.5,5.157894737,9.078947368,10.44736842,0.605263158,1,11.65789474,18.42105263,0.263157895,0.210526316,6.578947368,9,0.394736842,0.289473684,9.078947368,10.44736842,5.657894737,5.921052632,6.394736842,2.842105263,5.921052632,9.210526316,0.447368421,0.315789474,67.18421053,46.86842105,5.526315789,3.578947368,5.421052632,3.289473684,51.07894737,54.76315789,10.84210526,9.605263158,0.236842105,0.552631579,625.2105263,349.3421053,28.15789474,20.57894737,393.8421053,219.6052632,644.6315789,374.3684211,553.2894737,286.4736842,2.552631579,2.815789474,24.28947368,26.65789474,10.44736842,6.105263158,833.3421053,564.1315789,2.421052632,4.263157895,6.578947368,9,1.078947368,1.842105263,12.18421053,6.368421053,183.1052632,153.1315789,92.07894737,57.73684211,0.578947368,0.394736842,33.55263158,18.89473684,5.684210526,3.315789474,2.315789474,1.552631579,16.71052632,17.42105263,251.4736842,144.9736842,62.50789474,40.61578947,5.105263158,3.552631579,1.236842105,0.210526316,1.921052632,1.421052632,7.789473684,9.526315789,14.39473684,18.86842105,0.657894737,0.894736842,39.13157895,21.71052632,64.21052632,57.89473684,6.5,4.131578947,6.5,4.131578947,2.263157895,2.368421053,10,10.81578947
1,0,0,120.6052632,134.8684211,0.5,0.236842105,0.078947368,0.078947368,200.3421053,107.2631579,14.55263158,17.97368421,3.289473684,4.473684211,11.02631579,13.39473684,7.605263158,5.078947368,8.421052632,10.21052632,1,1.105263158,9.210526316,17.07894737,0.184210526,0.342105263,5.947368421,10.84210526,0.368421053,0.236842105,8.421052632,10.21052632,5.394736842,5.710526316,4.631578947,4.578947368,4.5,8,0.5,0.236842105,63.44736842,48.42105263,5.894736842,3.605263158,5.473684211,3.763157895,45.81578947,48.44736842,12.81578947,9.605263158,0.315789474,0.447368421,656.0526316,438.4473684,25.60526316,20.60526316,418.7894737,230.9210526,674.9473684,459.9736842,603.0789474,375.4736842,1.842105263,2.947368421,19.65789474,29.47368421,10.55263158,6.894736842,845.8421053,648.1052632,1.736842105,4.368421053,5.947368421,10.84210526,0.763157895,1.763157895,12.5,7.421052632,166.3947368,149.8157895,112.1052632,72,0.5,0.236842105,35.76315789,18.21052632,5.631578947,4.078947368,2.263157895,1.684210526,14.55263158,17.97368421,254.5526316,221.3157895,63.83947368,47.41315789,4.473684211,3.868421053,1,0.763157895,1.578947368,1.289473684,7.210526316,10.21052632,11.15789474,21.26315789,0.421052632,0.947368421,31.39473684,24.81578947,56.31578947,61.10526316,6.552631579,4.315789474,6.552631579,4.315789474,2.552631579,1.973684211,9.210526316,9.210526316
1,0,0,136.7368421,149.6842105,0.236842105,0.052631579,0.052631579,0.026315789,129.5263158,119.8421053,15.73684211,13.71052632,2.657894737,3.921052632,20.55263158,22.92105263,3.789473684,3.973684211,9.394736842,11.05263158,1.131578947,1.368421053,20.94736842,29.34210526,0.394736842,0.131578947,10.52631579,10.15789474,0.236842105,0.131578947,9.394736842,11.05263158,6.815789474,5.289473684,4.447368421,7.210526316,9.236842105,9.473684211,0.236842105,0.052631579,54.21052632,64.18421053,3,4.842105263,2.789473684,3.947368421,57.23684211,52.31578947,7,5.973684211,0.289473684,0.421052632,361.3684211,337.8947368,20.73684211,24.89473684,247.4736842,245.1052632,382.7894737,361.6315789,294.0263158,259.3684211,3.815789474,3.315789474,23.63157895,22.39473684,5.526315789,6.236842105,561,539.0263158,5.368421053,7.631578947,10.52631579,10.15789474,1.473684211,1.789473684,6.289473684,7.078947368,145.4473684,149.9473684,62.5,61.10526316,0.236842105,0.078947368,17,19.23684211,3.342105263,4.5,1.263157895,1.447368421,15.73684211,13.71052632,131.5263158,116.2631579,41.00263158,41.79736842,3.868421053,4.157894737,0.368421053,0.289473684,1.052631579,1.236842105,9.263157895,7.684210526,21.07894737,19.89473684,0.447368421,1.184210526,25.73684211,32.86842105,55.86842105,60.81578947,4.289473684,4.447368421,4.289473684,4.447368421,1.842105263,1.894736842,8.394736842,7.210526316
1,0,0,138.3684211,149.9210526,0.526315789,0.157894737,0,0.157894737,114.2894737,108.2631579,16.63157895,17.86842105,4.473684211,3.394736842,18.18421053,18.97368421,3.684210526,5.368421053,11.39473684,10.55263158,1.236842105,1.236842105,18.18421053,17.26315789,0.210526316,0.157894737,11.15789474,8.184210526,0.342105263,0.131578947,11.39473684,10.55263158,5.947368421,6.421052632,5.236842105,2.763157895,7.236842105,7.789473684,0.526315789,0.157894737,52.31578947,49.63157895,3.5,4.552631579,3.921052632,4.552631579,50.97368421,56.63157895,7.789473684,9.184210526,0.447368421,0.421052632,382.1052632,447.3157895,21.76315789,24.68421053,245.8684211,246.5526316,403.4736842,469.4736842,314.8947368,373.2368421,2.815789474,2.921052632,27.44736842,23.65789474,8.289473684,6.5,585.0263158,661.7105263,4.263157895,3.052631579,11.15789474,8.184210526,1.578947368,1.421052632,8.763157895,7.605263158,156.3157895,162.2105263,59.78947368,79.60526316,0.684210526,0.157894737,21.02631579,19.89473684,4.921052632,4.052631579,1.763157895,1.921052632,16.63157895,17.86842105,152.6315789,209.7631579,43.49210526,52.37894737,4,4.631578947,0.394736842,0.421052632,1.210526316,1.236842105,7.421052632,10.94736842,19.55263158,16.86842105,0.973684211,0.789473684,25.92105263,25.26315789,60.42105263,59.42105263,4.342105263,4.815789474,4.342105263,4.815789474,2,2.394736842,8.263157895,10.07894737
0,1,0,132.1578947,134.6842105,0.631578947,0.342105263,0.078947368,0.078947368,107.1052632,168.0789474,15.28947368,18.71052632,5.105263158,5.447368421,16.23684211,11.18421053,6.157894737,6.868421053,11.31578947,10.02631579,1.078947368,0.921052632,15.52631579,9.605263158,0.263157895,0.368421053,10.23684211,8.131578947,0.157894737,0.394736842,11.31578947,10.02631579,5.973684211,6.894736842,4.184210526,4.815789474,7.973684211,7.236842105,0.631578947,0.342105263,46.31578947,57,3.105263158,4.473684211,4.789473684,5.236842105,52.28947368,48.89473684,12.21052632,10.97368421,0.473684211,0.342105263,432.4473684,534.1052632,20.57894737,24.65789474,250.6578947,325.9210526,455.8157895,554.6315789,376.8421053,469.8684211,2.684210526,2.631578947,26.78947368,26.89473684,7.157894737,8.552631579,644.6842105,739.1315789,3.552631579,1.842105263,10.23684211,8.131578947,1.526315789,1.263157895,8.315789474,10.26315789,146.5526316,170,76.47368421,80.60526316,0.684210526,0.473684211,18.89473684,26.18421053,4.578947368,4.210526316,1.947368421,2.210526316,15.28947368,18.71052632,197.6052632,220.3421053,48.76315789,56.14473684,3.631578947,4.605263158,0.526315789,0.894736842,1.842105263,1.710526316,8.947368421,8.315789474,17.73684211,15.18421053,1.105263158,0.447368421,23.28947368,29.47368421,56.78947368,60.63157895,5.394736842,5.210526316,5.394736842,5.210526316,2.421052632,2.184210526,8.447368421,9.789473684
